id,value
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Vestibular Nuclei,A08.186.211.132.810.428.600.800
"Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Metencephalon.Pons.Vestibular Nuclei.Vestibular Nucleus, Lateral",A08.186.211.132.810.428.600.800.800
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon,A08.186.211.132.810.591
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata,A08.186.211.132.810.591.500
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata.Area Postrema,A08.186.211.132.810.591.500.286
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata.Olivary Nucleus,A08.186.211.132.810.591.500.574
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata.Raphe Nuclei,A08.186.211.132.810.591.500.662
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata.Raphe Nuclei.Nucleus Raphe Obscurus,A08.186.211.132.810.591.500.662.436
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata.Raphe Nuclei.Nucleus Raphe Pallidus,A08.186.211.132.810.591.500.662.624
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata.Solitary Nucleus,A08.186.211.132.810.591.500.750
"Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata.Trigeminal Nucleus, Spinal",A08.186.211.132.810.591.500.875
"Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Myelencephalon.Medulla Oblongata.Trigeminal Nucleus, Spinal.Trigeminal Caudal Nucleus",A08.186.211.132.810.591.500.875.500
Nervous System.Central Nervous System.Brain.Brain Stem.Rhombencephalon.Tectospinal Fibers,A08.186.211.132.810.753
Nervous System.Central Nervous System.Brain.Brain Stem.Trigeminal Nuclei,A08.186.211.132.931
Nervous System.Central Nervous System.Brain.Brain Stem.Trigeminal Nuclei.Trigeminal Motor Nucleus,A08.186.211.132.931.459
"Nervous System.Central Nervous System.Brain.Brain Stem.Trigeminal Nuclei.Trigeminal Nucleus, Spinal",A08.186.211.132.931.920
"Nervous System.Central Nervous System.Brain.Brain Stem.Trigeminal Nuclei.Trigeminal Nucleus, Spinal.Trigeminal Caudal Nucleus",A08.186.211.132.931.920.927
Nervous System.Central Nervous System.Brain.Cerebral Ventricles,A08.186.211.140
Nervous System.Central Nervous System.Brain.Cerebral Ventricles.Cerebral Aqueduct,A08.186.211.140.187
Nervous System.Central Nervous System.Brain.Cerebral Ventricles.Choroid Plexus,A08.186.211.140.298
Nervous System.Central Nervous System.Brain.Cerebral Ventricles.Ependyma,A08.186.211.140.460
Nervous System.Central Nervous System.Brain.Cerebral Ventricles.Fourth Ventricle,A08.186.211.140.500
Nervous System.Central Nervous System.Brain.Cerebral Ventricles.Lateral Ventricles,A08.186.211.140.650
Nervous System.Central Nervous System.Brain.Cerebral Ventricles.Septum Pellucidum,A08.186.211.140.814
Nervous System.Central Nervous System.Brain.Cerebral Ventricles.Third Ventricle,A08.186.211.140.840
Nervous System.Central Nervous System.Brain.Glymphatic System,A08.186.211.150
Nervous System.Central Nervous System.Brain.Gray Matter,A08.186.211.168
Nervous System.Central Nervous System.Brain.Limbic System,A08.186.211.180
Nervous System.Central Nervous System.Brain.Limbic System.Amygdala,A08.186.211.180.090
Nervous System.Central Nervous System.Brain.Limbic System.Amygdala.Basolateral Nuclear Complex,A08.186.211.180.090.500
Nervous System.Central Nervous System.Brain.Limbic System.Amygdala.Central Amygdaloid Nucleus,A08.186.211.180.090.750
Nervous System.Central Nervous System.Brain.Limbic System.Amygdala.Corticomedial Nuclear Complex,A08.186.211.180.090.875
Nervous System.Central Nervous System.Brain.Limbic System.Amygdala.Corticomedial Nuclear Complex.Periamygdaloid Cortex,A08.186.211.180.090.875.500
Nervous System.Central Nervous System.Brain.Limbic System.Epithalamus,A08.186.211.180.200
Nervous System.Central Nervous System.Brain.Limbic System.Epithalamus.Habenula,A08.186.211.180.200.360
Nervous System.Central Nervous System.Brain.Limbic System.Epithalamus.Pineal Gland,A08.186.211.180.200.680
Nervous System.Central Nervous System.Brain.Limbic System.Hippocampus,A08.186.211.180.405
"Nervous System.Central Nervous System.Brain.Limbic System.Hippocampus.CA1 Region, Hippocampal",A08.186.211.180.405.099
"Nervous System.Central Nervous System.Brain.Limbic System.Hippocampus.CA2 Region, Hippocampal",A08.186.211.180.405.149
"Nervous System.Central Nervous System.Brain.Limbic System.Hippocampus.CA3 Region, Hippocampal",A08.186.211.180.405.174
Nervous System.Central Nervous System.Brain.Limbic System.Hippocampus.Dentate Gyrus,A08.186.211.180.405.200
"Nervous System.Central Nervous System.Brain.Limbic System.Hippocampus.Dentate Gyrus.Mossy Fibers, Hippocampal",A08.186.211.180.405.200.500
"Nervous System.Central Nervous System.Brain.Limbic System.Hippocampus.Fornix, Brain",A08.186.211.180.405.600
Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus,A08.186.211.180.497
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamic Area, Lateral",A08.186.211.180.497.300
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Anterior",A08.186.211.180.497.342
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Anterior.Anterior Hypothalamic Nucleus",A08.186.211.180.497.342.063
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Anterior.Organum Vasculosum",A08.186.211.180.497.342.231
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Anterior.Paraventricular Hypothalamic Nucleus",A08.186.211.180.497.342.400
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Anterior.Preoptic Area",A08.186.211.180.497.342.450
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Anterior.Suprachiasmatic Nucleus",A08.186.211.180.497.342.625
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Anterior.Suprachiasmatic Nucleus.Suprachiasmatic Nucleus Neurons",A08.186.211.180.497.342.625.500
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Anterior.Supraoptic Nucleus",A08.186.211.180.497.342.650
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle",A08.186.211.180.497.352
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Arcuate Nucleus of Hypothalamus",A08.186.211.180.497.352.081
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Dorsomedial Hypothalamic Nucleus",A08.186.211.180.497.352.270
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System",A08.186.211.180.497.352.435
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Median Eminence",A08.186.211.180.497.352.435.249
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland",A08.186.211.180.497.352.435.500
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior",A08.186.211.180.497.352.435.500.500
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Corticotrophs",A08.186.211.180.497.352.435.500.500.500
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Gonadotrophs",A08.186.211.180.497.352.435.500.500.750
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Lactotrophs",A08.186.211.180.497.352.435.500.500.812
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Somatotrophs",A08.186.211.180.497.352.435.500.500.937
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Thyrotrophs",A08.186.211.180.497.352.435.500.500.968
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Intermediate",A08.186.211.180.497.352.435.500.750
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Intermediate.Melanotrophs",A08.186.211.180.497.352.435.500.750.500
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Posterior",A08.186.211.180.497.352.435.500.875
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Tuber Cinereum",A08.186.211.180.497.352.870
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Middle.Ventromedial Hypothalamic Nucleus",A08.186.211.180.497.352.953
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Posterior",A08.186.211.180.497.362
"Nervous System.Central Nervous System.Brain.Limbic System.Hypothalamus.Hypothalamus, Posterior.Mammillary Bodies",A08.186.211.180.497.362.500
Nervous System.Central Nervous System.Brain.Limbic System.Limbic Lobe,A08.186.211.180.590
Nervous System.Central Nervous System.Brain.Limbic System.Limbic Lobe.Gyrus Cinguli,A08.186.211.180.590.500
Nervous System.Central Nervous System.Brain.Limbic System.Limbic Lobe.Parahippocampal Gyrus,A08.186.211.180.590.750
Nervous System.Central Nervous System.Brain.Limbic System.Limbic Lobe.Parahippocampal Gyrus.Entorhinal Cortex,A08.186.211.180.590.750.225
Nervous System.Central Nervous System.Brain.Limbic System.Limbic Lobe.Parahippocampal Gyrus.Periamygdaloid Cortex,A08.186.211.180.590.750.612
Nervous System.Central Nervous System.Brain.Limbic System.Olfactory Pathways,A08.186.211.180.699
Nervous System.Central Nervous System.Brain.Limbic System.Parahippocampal Gyrus,A08.186.211.180.710
Nervous System.Central Nervous System.Brain.Limbic System.Parahippocampal Gyrus.Entorhinal Cortex,A08.186.211.180.710.225
Nervous System.Central Nervous System.Brain.Limbic System.Parahippocampal Gyrus.Periamygdaloid Cortex,A08.186.211.180.710.612
Nervous System.Central Nervous System.Brain.Limbic System.Perforant Pathway,A08.186.211.180.730
Nervous System.Central Nervous System.Brain.Limbic System.Septum of Brain,A08.186.211.180.750
Nervous System.Central Nervous System.Brain.Limbic System.Septum of Brain.Septal Nuclei,A08.186.211.180.750.800
Nervous System.Central Nervous System.Brain.Limbic System.Septum of Brain.Septum Pellucidum,A08.186.211.180.750.900
Nervous System.Central Nervous System.Brain.Limbic System.Substantia Innominata,A08.186.211.180.820
Nervous System.Central Nervous System.Brain.Prosencephalon,A08.186.211.200
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon,A08.186.211.200.317
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Epithalamus,A08.186.211.200.317.200
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Epithalamus.Habenula,A08.186.211.200.317.200.360
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Epithalamus.Pineal Gland,A08.186.211.200.317.200.620
Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus,A08.186.211.200.317.357
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamic Area, Lateral",A08.186.211.200.317.357.300
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Anterior",A08.186.211.200.317.357.342
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Anterior.Anterior Hypothalamic Nucleus",A08.186.211.200.317.357.342.063
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Anterior.Organum Vasculosum",A08.186.211.200.317.357.342.315
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Anterior.Paraventricular Hypothalamic Nucleus",A08.186.211.200.317.357.342.400
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Anterior.Preoptic Area",A08.186.211.200.317.357.342.450
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Anterior.Suprachiasmatic Nucleus",A08.186.211.200.317.357.342.625
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Anterior.Suprachiasmatic Nucleus.Suprachiasmatic Nucleus Neurons",A08.186.211.200.317.357.342.625.500
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Anterior.Supraoptic Nucleus",A08.186.211.200.317.357.342.650
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle",A08.186.211.200.317.357.352
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Arcuate Nucleus of Hypothalamus",A08.186.211.200.317.357.352.081
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Dorsomedial Hypothalamic Nucleus",A08.186.211.200.317.357.352.270
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System",A08.186.211.200.317.357.352.435
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Median Eminence",A08.186.211.200.317.357.352.435.249
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland",A08.186.211.200.317.357.352.435.500
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior",A08.186.211.200.317.357.352.435.500.500
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Corticotrophs",A08.186.211.200.317.357.352.435.500.500.500
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Gonadotrophs",A08.186.211.200.317.357.352.435.500.500.750
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Lactotrophs",A08.186.211.200.317.357.352.435.500.500.812
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Somatotrophs",A08.186.211.200.317.357.352.435.500.500.937
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Anterior.Thyrotrophs",A08.186.211.200.317.357.352.435.500.500.968
"Nervous System.Central Nervous System.Brain.Prosencephalon.Diencephalon.Hypothalamus.Hypothalamus, Middle.Hypothalamo-Hypophyseal System.Pituitary Gland.Pituitary Gland, Intermediate",A08.186.211.200.317.357.352.435.500.750
